,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,City ID
359,gigmoto,17.220277536300244,130.17617311079692,81.62,99,56,13.87,1712961
360,xining,34.8273173993184,97.90371943757896,36.08,41,0,3.69,1788852
361,ilulissat,72.19428966150605,-43.152287561124325,-0.41,64,0,4.7,3423146
362,henties bay,-21.291264711614218,8.866861784722204,57.82,100,0,3.58,3356832
363,nyurba,63.781731885873086,116.843757581322,6.52,55,0,7.83,2018735
364,huejuquilla el alto,22.336720437364008,-104.41168462203794,55.21,65,0,2.57,4004616
365,baltasi,56.42889214123781,50.0269336235113,34.24,94,88,11.52,579384
366,klaksvik,73.1057947446399,-6.433597280540056,48.2,93,80,24.16,2618795
367,patacamaya,-18.386137727645433,-68.77574461586724,43.37,100,88,2.24,3908339
369,san jeronimo,14.58833729764548,-101.50465053223184,47.02,94,100,1.9,3929607
370,guerrero negro,21.85461855248424,-119.16849207755442,62.32,99,24,7.72,4021858
371,cidreira,-38.62603723250023,-41.09406462059542,66.05,80,56,15.21,3466165
372,coaticook,44.94367197188623,-71.58144058938686,41.81,86,90,24.16,5924500
373,saint-ambroise,51.82365361984699,-70.53046780300257,37.4,100,0,2.24,3025602
374,bilibino,75.2242159925288,165.5136314563129,-5.19,66,36,2.35,2126682
375,lakes entrance,-38.50951499926764,148.93727637432835,58.9,74,24,9.17,2160735
376,alice springs,-22.464214565214306,133.80826272675222,69.8,35,0,17.22,2077895
377,ancud,-40.365894961726,-99.31805993703898,46.3,89,56,5.14,3899695
380,santa cecilia,-26.72496880409662,-50.13059297710333,67.45,97,92,0.67,3671633
